bank,term,score
CBE,good,56.32400869747144
CBE,app,26.749374769537646
CBE,best,18.198966830058737
CBE,nice,16.567041097245667
CBE,good app,10.018361996291617
CBE,cbe,8.253343220766848
CBE,bank,7.9393913754749565
CBE,like,7.190464728000779
CBE,excellent,7.149318735047354
CBE,ok,6.203631266426203
BOA,good,46.416686548379474
BOA,app,23.951237163208198
BOA,best,16.427026311528138
BOA,nice,11.346371356276096
BOA,boa,10.341270526562388
BOA,bank,8.635018452837953
BOA,work,7.610335450583477
BOA,great,7.595563170995852
BOA,working,7.567891359651864
BOA,like,6.076038413738379
Dashen,good,42.95821783081285
Dashen,app,29.13153548974601
Dashen,nice,17.619399107740925
Dashen,best,16.09463998760835
Dashen,wow,13.521326812729786
Dashen,bank,10.49872337677375
Dashen,dashen,8.178168968470844
Dashen,ok,8.0
Dashen,super,7.6921732355796735
Dashen,nice app,7.381726597019736
